Дата;Время;вес(кг);BMI;Тучность;Процент жира;Жировая масса(кг);Цель;Цель;Возраст;Рост(см);Белок(%);Динамика мышечной массы(%);Мышечная масса;Вода(%);вес воды(кг);Метаболизм;костная масса(кг);Соотношение скелетной мышечной массы;Скелетная мышечная масса(кг);Метаболический возраст;LBM(кг)
09-04;08:02;82.7;25.00;15.76;23.29;19.2;-3.3;86.0;30;182;19.32;72.55;60.0;53.23;44.0;1801.00;3.4;39.70;32.8;37;63.4
08-27;09:28;82.1;24.80;14.99;23.02;18.9;-3.9;86.0;30;182;19.44;72.78;59.7;53.34;43.8;1794.00;3.4;39.80;32.7;37;63.2
08-25;09:51;82.6;24.90;15.62;23.24;19.2;-3.4;86.0;30;182;19.34;72.59;59.9;53.25;44.0;1800.00;3.4;39.70;32.8;37;63.4
08-22;06:18;82.0;24.80;14.85;22.98;18.8;-4.0;86.0;30;182;19.46;72.82;59.7;53.36;43.8;1793.00;3.4;39.80;32.6;36;63.2
08-20;07:31;81.9;24.70;14.64;22.91;18.7;-4.2;86.0;30;182;19.49;72.88;59.7;53.38;43.7;1791.00;3.4;39.90;32.7;36;63.1
08-16;09:25;82.2;24.80;15.06;23.05;18.9;-3.8;86.0;30;182;19.43;72.75;59.8;53.33;43.8;1795.00;3.4;39.80;32.7;37;63.2
08-12;07:25;81.9;24.70;14.71;22.93;18.8;-4.1;86.0;30;182;19.48;72.86;59.7;53.37;43.7;1791.00;3.5;39.90;32.7;36;63.1
08-06;08:46;80.8;24.40;13.17;22.40;18.1;-5.2;86.0;30;182;19.73;73.32;59.2;53.59;43.3;1777.00;3.5;40.20;32.5;35;62.7
08-05;08:45;81.0;24.40;13.38;22.46;18.2;-5.1;86.0;30;182;19.70;73.25;59.3;53.56;43.4;1779.00;3.4;40.10;32.5;35;62.8
08-03;09:46;80.8;24.40;13.17;22.40;18.1;-5.2;86.0;30;182;19.73;73.32;59.2;53.59;43.3;1777.00;3.5;40.20;32.5;35;62.7
07-31;10:57;80.0;24.10;11.97;21.97;17.6;-6.1;86.0;30;182;19.93;73.68;58.9;53.76;43.0;1766.00;3.4;40.40;32.3;35;62.4
07-30;10:01;80.5;24.30;12.75;22.25;17.9;-5.5;86.0;30;182;19.80;73.45;59.1;53.65;43.2;1773.00;3.5;40.30;32.4;35;62.6
07-25;10:40;79.0;23.80;10.64;21.49;17.0;-7.0;86.0;30;182;20.15;74.10;58.5;53.95;42.6;1753.00;3.5;40.70;32.2;34;62.0
07-22;11:27;79.1;23.90;10.78;21.54;17.0;-6.9;86.0;30;182;20.12;74.06;58.6;53.93;42.7;1754.00;3.5;40.70;32.2;34;62.1
07-20;09:40;79.4;24.00;11.13;21.67;17.2;-6.7;86.0;30;182;20.07;73.95;58.7;53.88;42.8;1758.00;3.4;40.60;32.2;34;62.2
07-17;10:39;79.0;23.80;10.64;21.49;17.0;-7.0;86.0;30;182;20.15;74.10;58.5;53.95;42.6;1753.00;3.5;40.70;32.2;34;62.0
