Тренажер/упражнение,Повторения,Вес,Ощущение целевой мышцы (0–5),Что чувствовал,,Повторения,Вес,Ощущение целевой мышцы (0–5),Что чувствовал,,Повторения,Вес,Ощущение целевой мышцы (0–5),Что чувствовал,,Повторения,Вес,Ощущение целевой мышцы (0–5),Что чувствовал,,Тренажер/упражнение,Повторения,Вес,Ощущение целевой мышцы (0–5),Что чувствовал,,Тренажер/упражнение,Повторения,Вес,Ощущение целевой мышцы (0–5),Что чувствовал,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Маятниковый присед,10,40-60-65-70-70,3,Общая слабость,,10,40-60-65-70-70,3,Общая слабость,,10,40-60-65-70-70 ,4,Общая слабость,,10,40-60-70-70-70,3,Общая слабость,,Маятниковый присед,10,40-60-70-70-70,3,Общая слабость,,Жим ногами сидя,10,90-100-110-120-130,5,,Приседания в смите ,10,40-60-70-70-70,
Жим ногами,10,140-160-160-160-160,3,Общая слабость,,10,140-160-160-160-170,3,Общая слабость,,10,140-160-160-160-170,4,Общая слабость,,10,120-140-160-180-200,5,,,Жим ногами,10,120-140-160-180-200,5,,,,10,120-140-160-180-200,5,,,10,120-140-160-180-200,
Разгибания,10,55-50+40+30-45+35+25,3,,,10,50-50-50-50,3,,,10,50-50-52.5-52.5,5,,,10,50-52.5-52.5-52.5,4,,,Разгибания,10,50-50+40+30-45-35-25,5,,,,10,50-50-50-50-50,5,,,10,50-50-50-55-55,
Икры,20,30-30-30-30,5,,,20,30-30-30-30,5,,,20,30-30-30-35,5,,,20,30-30-35-35,5,,,Икры,20,30-30-35-35,5,,,,20,30-35-35-35,5,,,20,35-35-35-35,
Пресс,10,40-40-40-40-40,2,Ноги,,10,40-40-40-40-40,2,Ноги,,10,40-40-40-40-40,3,Ноги,,10,40-40-40-40-40,3,Ноги,,Пресс,10,40-40-40-40-40,3,Ноги,,,10,40-40-40-40-40,3,Ноги,,10,40-40-40-45-45,
Гиперэкстензия,10,10-10-10-10-10,4,,,10,10-10-10-10-10,4,,,10,10-10-10-10-10,4,,,10,10-10-10-10-10,4,,,Гиперэкстензия,10,10-10-10-10-10,4,,,,10,10-10-10-10-10,4,,,10,10-10-10-10-15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вертикальная тяга одной рукой,10,60-60-60-65-65,3,Кисти,,10,60-60-65-65-65,4,Кисти,,10,65-65-65-70-70,4,,,10,65-65-70-70-70,5,,,Средняя дельта кроссовер,10,5-5-5-5-2.5,5,,,,10,5-5-5-2.5-2.5,4,,,10,5-5-5-5-5,
Горизонтальная тяга,10,50-50-50-50-50,2,Трапеции,,10,50-50-50-50-50,2,Трапеции,,10,50-50-50-50-55,3,Трапеции,,10,50-50-55-55-55,3,Кисти,,Передняя дельта ,10,40-50-50-50-50,4,,,,10,40-50-50-50-50,5,,,10,40-60-50-50-50,
Вертикальная тяга кроссовер прямая рукоять,10,45-45-40-40-40,1,Кисти/предплечья/плечи,,10,40-40-40-45-45,2,Кисти/предплечья/плечи,,10,40-40-40-45-45,3,Кисти/предплечья/плечи,,10,40-40-40-45-45,2,Кисти/предплечья,,Средняя дельта тренажёр ,10,45-45-40-40-40,4,,,,10,45-45-45-42.5-42.5,4,,,10,45-45-45-45-42.5,
Средняя дельта в тренажере,10,45-45-45-45-45,5,,,10,45-45-45-47.5-47.5,5,,,10,45-45-45-47.5-47.5,5,,,10,45-45-45-47.5-47.5,5,,,Задняя дельта ,10,10-10-10-10-10,3,,,,10,10-10-15-15-12.5,3,,,10,10-10-15-12.5-10,3
